endereco_cep,endereco_municipio,endereco_uf,endereco_regiao,endereco_mesorregiao
31255360,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
90020007,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
12712010,CRUZEIRO,SP,SUDESTE,VALE DO PARAIBA PAULISTA
38320000,SANTA VITORIA,MG,SUDESTE,TRIANGULO MINEIRO ALTO PARANAIBA
55611350,VITORIA DE SANTO ANTAO,PE,NORDESTE,MATA PERNAMBUCANA
05210050,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
31710130,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
22793913,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
73751275,PLANALTINA,GO,CENTRO-OESTE,LESTE GOIANO
22790650,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
13348871,INDAIATUBA,SP,SUDESTE,CAMPINAS
12950430,ATIBAIA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
94420145,VIAMAO,RS,SUL,METROPOLITANA DE PORTO ALEGRE
89506481,CACADOR,SC,SUL,OESTE CATARINENSE
37145000,ALTEROSA,MG,SUDESTE,SUL SUDOESTE DE MINAS
28735000,QUISSAMA,RJ,SUDESTE,NORTE FLUMINENSE
12231675,SAO JOSE DOS CAMPOS,SP,SUDESTE,VALE DO PARAIBA PAULISTA
30662680,BELO HORIZONTE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
59064390,NATAL,RN,NORDESTE,LESTE POTIGUAR
34800971,CAETE,MG,SUDESTE,METROPOLITANA DE BELO HORIZONTE
44050734,FEIRA DE SANTANA,BA,NORDESTE,CENTRO NORTE BAIANO
78049326,CUIABA,MT,CENTRO-OESTE,CENTRO SUL MATO GROSSENSE
90870270,PORTO ALEGRE,RS,SUL,METROPOLITANA DE PORTO ALEGRE
14026040,RIBEIRAO PRETO,SP,SUDESTE,RIBEIRAO PRETO
88062002,FLORIANOPOLIS,SC,SUL,GRANDE FLORIANOPOLIS
83328250,PINHAIS,PR,SUL,METROPOLITANA DE CURITIBA
15051155,SAO JOSE DO RIO PRETO,SP,SUDESTE,SAO JOSE DO RIO PRETO
37970000,PRATAPOLIS,MG,SUDESTE,SUL SUDOESTE DE MINAS
36820000,DIVINO,MG,SUDESTE,ZONA DA MATA
45900000,CARAVELAS,BA,NORDESTE,SUL BAIANO
59070600,NATAL,RN,NORDESTE,LESTE POTIGUAR
13178724,SUMARE,SP,SUDESTE,CAMPINAS
13575090,SAO CARLOS,SP,SUDESTE,ARARAQUARA
81050100,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
20943000,RIO DE JANEIRO,RJ,SUDESTE,METROPOLITANA DO RIO DE JANEIRO
29165180,SERRA,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
76520000,NOVA CRIXAS,GO,CENTRO-OESTE,NOROESTE GOIANO
80610905,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
48610716,PAULO AFONSO,BA,NORDESTE,VALE SAO FRANCISCANO DA BAHIA
06502355,SANTANA DE PARNAIBA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
13502120,RIO CLARO,SP,SUDESTE,PIRACICABA
36576000,PORTO FIRME,MG,SUDESTE,ZONA DA MATA
02082000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
14403575,FRANCA,SP,SUDESTE,RIBEIRAO PRETO
11702280,PRAIA GRANDE,SP,SUDESTE,METROPOLITANA DE SAO PAULO
93890000,NOVA HARTZ,RS,SUL,METROPOLITANA DE PORTO ALEGRE
09350000,MAUA,SP,SUDESTE,METROPOLITANA DE SAO PAULO
27280010,VOLTA REDONDA,RJ,SUDESTE,SUL FLUMINENSE
13283146,VINHEDO,SP,SUDESTE,CAMPINAS
11360000,SAO VICENTE,SP,SUDESTE,METROPOLITANA DE SAO PAULO
68501150,MARABA,PA,NORTE,SUDESTE PARAENSE
07143760,GUARULHOS,SP,SUDESTE,METROPOLITANA DE SAO PAULO
29130151,VIANA,ES,SUDESTE,CENTRAL ESPIRITO SANTENSE
83090220,SAO JOSE DOS PINHAIS,PR,SUL,METROPOLITANA DE CURITIBA
01031901,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
65680000,PASSAGEM FRANCA,MA,NORDESTE,LESTE MARANHENSE
88060000,FLORIANOPOLIS,SC,SUL,GRANDE FLORIANOPOLIS
74565070,GOIANIA,GO,CENTRO-OESTE,CENTRO GOIANO
69095575,MANAUS,AM,NORTE,CENTRO AMAZONENSE
02207070,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
77809380,ARAGUAINA,TO,NORTE,OCIDENTAL DO TOCANTINS
08441170,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
14580000,GUARA,SP,SUDESTE,RIBEIRAO PRETO
13564090,SAO CARLOS,SP,SUDESTE,ARARAQUARA
87015380,MARINGA,PR,SUL,NORTE CENTRAL PARANAENSE
84061360,PONTA GROSSA,PR,SUL,CENTRO ORIENTAL PARANAENSE
81670410,CURITIBA,PR,SUL,METROPOLITANA DE CURITIBA
68627040,PARAGOMINAS,PA,NORTE,SUDESTE PARAENSE
79094560,CAMPO GRANDE,MS,CENTRO-OESTE,CENTRO NORTE DE MATO GROSSO DO SUL
12949195,ATIBAIA,SP,SUDESTE,MACRO METROPOLITANA PAULISTA
85935000,ASSIS CHATEAUBRIAND,PR,SUL,OESTE PARANAENSE
87650000,CRUZEIRO DO SUL,PR,SUL,NOROESTE PARANAENSE
01207001,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
13562400,SAO CARLOS,SP,SUDESTE,ARARAQUARA
07159600,GUARULHOS,SP,SUDESTE,METROPOLITANA DE SAO PAULO
12130000,LAGOINHA,SP,SUDESTE,VALE DO PARAIBA PAULISTA
01139000,SAO PAULO,SP,SUDESTE,METROPOLITANA DE SAO PAULO
06814010,EMBU DAS ARTES,SP,SUDESTE,METROPOLITANA DE SAO PAULO
87900000,LOANDA,PR,SUL,NOROESTE PARANAENSE
14450000,JERIQUARA,SP,SUDESTE,RIBEIRAO PRETO
13160000,ARTUR NOGUEIRA,SP,SUDESTE,CAMPINAS
