cnpj,saude_tributaria
36736812000147,CINZA
36739409000171,CINZA
36741013000169,CINZA
36741779000143,CINZA
36744127000162,CINZA
36747041000193,CINZA
36767122000155,CINZA
36788587000192,CINZA
36820263000194,CINZA
36824029000135,CINZA
36840894000175,CINZA
36851516000197,CINZA
36852041000153,CINZA
36867812000186,CINZA
36898185000140,CINZA
36945738000179,CINZA
36946693000157,CINZA
36950380000172,CINZA
37106739000192,CINZA
39269535000106,CINZA
39447248000130,CINZA
41494170000157,CINZA
42331462000131,CINZA
43249549000127,CINZA
43283811002527,CINZA
43425818000169,CINZA
43578418000193,CINZA
45127941000129,VERMELHO
45228442000128,VERMELHO
46157327000172,CINZA
48076228002569,VERDE
48555775012247,CINZA
50926955000142,VERMELHO
51537413000140,CINZA
51812782000102,VERDE
53432332000101,VERMELHO
53560140000180,CINZA
53598868000100,VERDE
54057476000198,VERMELHO
54529441000104,CINZA
55571129000141,CINZA
56720428000163,VERMELHO
58119199000151,AMARELA
59593368000153,CINZA
59925941000189,CINZA
60125200000100,VERDE
60476884000187,AMARELA
60975976000373,CINZA
61092037000181,AMARELA
61374161000130,VERDE
61391314000157,CINZA
61827739000166,VERDE
62144175000120,AMARELA
63522940000160,CINZA
64520349000137,CINZA
66612128000114,VERDE
67182253000102,VERDE
67571414000141,VERDE
67890426000562,CINZA
69004083000193,VERMELHO
69095248000180,AMARELA
69904456000182,VERDE
71087746000122,CINZA
72329519000129,CINZA
73169260000169,VERMELHO
73571879000103,VERDE
74751272000160,CINZA
76069210000106,CINZA
76154749001801,VERDE
76489467000109,CINZA
76909191000170,VERDE
77610111000144,VERDE
78160777000100,VERDE
78855830007796,CINZA
79019097000134,CINZA
79342069008723,VERDE
80068067000105,CINZA
80333735000176,CINZA
80795370000100,CINZA
81382525000645,CINZA
83065227000142,VERMELHO
83161661000126,VERDE
83867960000180,CINZA
84693183000168,VERMELHO
85778074000106,CINZA
86375425000109,CINZA
86679917000341,CINZA
87129326000525,CINZA
89463822000112,CINZA
91589374000140,CINZA
92406586000107,CINZA
92690783000109,CINZA
92812049000833,VERDE
93117513000168,CINZA
93251767000174,CINZA
94524162000415,CINZA
95426862000197,CINZA
96513056000119,VERMELHO
97246367000121,VERMELHO
00027813000175,CINZA
00242184000104,AMARELA
00336701000104,VERDE
00360305537850,CINZA
00744380000330,CINZA
00755990000500,CINZA
00789647000144,CINZA
00819881000177,CINZA
00864214000106,VERDE
00924429000175,CINZA
01083200000118,VERMELHO
01104937000170,CINZA
01107327000120,VERMELHO
01136796000177,VERMELHO
01188297000123,CINZA
01193110000180,CINZA
01385279000131,CINZA
01401056000110,CINZA
01452347000138,VERDE
01458385000106,CINZA
01553902000460,VERDE
01578553000199,CINZA
01614977000161,CINZA
01662071000112,CINZA
01687447000143,VERDE
01692941000104,VERDE
01703632000184,CINZA
01838723000127,VERMELHO
01893375000190,CINZA
01957772000189,CINZA
01971614000183,CINZA
02008912000135,CINZA
02081131000680,CINZA
02116188000163,VERMELHO
02291077000193,CINZA
02307942000142,VERDE
02319908000198,CINZA
02320561000101,CINZA
02411415000183,CINZA
02556250000138,CINZA
02593882000171,CINZA
02611831000125,CINZA
02621132000166,VERMELHO
02622162000197,VERDE
02655190000100,CINZA
02686687000196,CINZA
02695126000153,CINZA
02747980000116,CINZA
02766038005679,CINZA
02769771000173,CINZA
02776541000131,VERDE
02796775000140,CINZA
02821850000186,CINZA
02912570000183,CINZA
02933953000138,VERDE
02998301000181,VERDE
02998611000104,VERMELHO
02999737000195,CINZA
03014553000191,CINZA
03103043000190,CINZA
03150678000149,VERDE
03342704000130,VERMELHO
03376287000147,CINZA
03402357000194,CINZA
03467321000199,VERDE
03475276000114,VERDE
03491528000107,CINZA
03494960000143,CINZA
03546530000128,VERDE
03553832000123,AMARELA
03615870000244,CINZA
03675122000176,VERDE
03737033000107,CINZA
03747379000196,VERDE
03796593000132,CINZA
03804732000122,CINZA
03847461000192,CINZA
03858718000101,CINZA
03883480000174,VERDE
04022289000109,CINZA
04030182000102,CINZA
04031213000131,CINZA
04065791000199,VERDE
04171031000166,CINZA
04182004000199,VERDE
04216728000106,VERMELHO
04220288000160,VERDE
04380570000105,VERDE
04392698000199,VERDE
04394904000108,CINZA
04427846000163,VERMELHO
04465229000233,CINZA
04718932000125,CINZA
04785908000109,CINZA
04797322000164,CINZA
04825875000345,CINZA
04829297000153,CINZA
04930458000109,CINZA
04957519000113,VERDE
04957642000134,CINZA
04970016000188,CINZA
04972064000296,CINZA
04979921000107,VERDE
04987247000102,CINZA
05099057000103,CINZA
05137787000151,CINZA
05151039000123,CINZA
05155099000114,CINZA
05230501000188,CINZA
05282775000110,CINZA
05287737000150,VERMELHO
05315394000190,CINZA
05408439000171,VERDE
05456420000362,CINZA
05490840000799,VERDE
05492241000119,CINZA
05594897000142,CINZA
05629537000139,VERMELHO
05642430000120,CINZA
05737355000424,CINZA
05843316000169,CINZA
05874658000146,CINZA
05998426000108,VERDE
06033948000391,CINZA
06084645000136,CINZA
06099229021613,CINZA
06120954000114,CINZA
06124723000189,CINZA
06126347000161,CINZA
06132717000173,VERDE
06134093000123,CINZA
06177469000187,CINZA
06333375000150,CINZA
06641146000100,VERDE
06855188000136,CINZA
06974800000190,VERDE
06977745000191,VERDE
07016062000130,VERDE
07098223000182,CINZA
07138304001211,CINZA
07237373017871,CINZA
07244393000128,VERDE
07252899000421,CINZA
07282337000188,CINZA
07284622000138,VERDE
07289815001153,CINZA
07430606000106,VERDE
07432517000794,CINZA
07524013000109,VERDE
07562201000393,CINZA
07582393000138,CINZA
07668307000104,CINZA
07676911000182,VERMELHO
07691077000102,VERDE
07698637000142,VERDE
07726602000170,CINZA
07730391000149,CINZA
07755345000102,CINZA
07772383000165,VERMELHO
07784073000160,VERDE
07832123000138,VERDE
07920676000142,CINZA
07927968000611,CINZA
07963129002279,CINZA
07974572000110,CINZA
07977366000164,CINZA
07979675000173,VERDE
07983257000311,CINZA
08006614000192,CINZA
08038434000192,CINZA
08061859000112,CINZA
08074104000152,VERDE
08075842000114,CINZA
08155466000178,CINZA
08177333000364,CINZA
